Rented Bike Count,Hour,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm)
254,0,-5.2,37.0,2.2,2000.0,-17.6,0.0,0.0,0.0
204,1,-5.5,38.0,0.8,2000.0,-17.6,0.0,0.0,0.0
173,2,-6.0,39.0,1.0,2000.0,-17.7,0.0,0.0,0.0
107,3,-6.2,40.0,0.9,2000.0,-17.6,0.0,0.0,0.0
78,4,-6.0,36.0,2.3,2000.0,-18.6,0.0,0.0,0.0
100,5,-6.4,37.0,1.5,2000.0,-18.7,0.0,0.0,0.0
181,6,-6.6,35.0,1.3,2000.0,-19.5,0.0,0.0,0.0
460,7,-7.4,38.0,0.9,2000.0,-19.3,0.0,0.0,0.0
930,8,-7.6,37.0,1.1,2000.0,-19.8,0.01,0.0,0.0
490,9,-6.5,27.0,0.5,1928.0,-22.4,0.23,0.0,0.0
339,10,-3.5,24.0,1.2,1996.0,-21.2,0.65,0.0,0.0
360,11,-0.5,21.0,1.3,1936.0,-20.2,0.94,0.0,0.0
449,12,1.7,23.0,1.4,2000.0,-17.2,1.11,0.0,0.0
451,13,2.4,25.0,1.6,2000.0,-15.6,1.16,0.0,0.0
447,14,3.0,26.0,2.0,2000.0,-14.6,1.01,0.0,0.0
463,15,2.1,36.0,3.2,2000.0,-11.4,0.54,0.0,0.0
484,16,1.2,54.0,4.2,793.0,-7.0,0.24,0.0,0.0
555,17,0.8,58.0,1.6,2000.0,-6.5,0.08,0.0,0.0
862,18,0.6,66.0,1.4,2000.0,-5.0,0.0,0.0,0.0
600,19,0.0,77.0,1.7,2000.0,-3.5,0.0,0.0,0.0
426,20,-0.3,79.0,1.5,1913.0,-3.5,0.0,0.0,0.0
405,21,-0.8,81.0,0.8,1687.0,-3.6,0.0,0.0,0.0
398,22,-0.9,83.0,1.5,1380.0,-3.4,0.0,0.0,0.0
323,23,-1.3,84.0,1.0,1265.0,-3.6,0.0,0.0,0.0
326,0,-0.2,55.0,1.0,1629.0,-8.1,0.0,0.0,0.0
280,1,-0.2,54.0,0.5,1747.0,-8.4,0.0,0.0,0.0
243,2,0.2,52.0,0.7,1726.0,-8.5,0.0,0.0,0.0
169,3,0.3,53.0,0.5,1748.0,-8.1,0.0,0.0,0.0
71,4,0.4,52.0,1.6,1816.0,-8.3,0.0,0.0,0.0
13,5,0.3,74.0,1.0,178.0,-3.7,0.0,0.0,0.7
9,6,-0.5,90.0,0.9,91.0,-1.9,0.0,2.5,2.7
20,7,-0.4,92.0,1.1,121.0,-1.5,0.0,0.0,4.0
35,8,-0.2,90.0,1.2,378.0,-1.6,0.0,0.0,4.1
31,9,0.2,90.0,1.0,305.0,-1.2,0.0,1.6,4.3
19,10,0.5,91.0,0.4,143.0,-0.8,0.0,0.0,4.3
58,11,0.9,92.0,0.9,137.0,-0.2,0.03,0.0,3.9
119,12,2.3,88.0,0.3,245.0,0.5,0.28,0.0,3.1
182,13,3.3,87.0,1.1,230.0,1.3,0.54,0.0,2.1
235,14,4.2,85.0,0.7,325.0,1.8,0.65,0.0,1.4
180,15,6.7,63.0,4.5,715.0,0.1,0.35,0.0,1.0
214,16,5.4,71.0,3.5,622.0,0.5,0.2,0.0,0.5
226,17,3.6,65.0,4.3,1061.0,-2.3,0.03,0.0,0.4
210,18,2.0,61.0,3.0,2000.0,-4.7,0.0,0.0,0.0
181,19,1.6,53.0,4.0,2000.0,-6.9,0.0,0.0,0.0
165,20,0.6,57.0,3.9,1954.0,-6.9,0.0,0.0,0.0
167,21,0.0,59.0,3.0,1862.0,-7.0,0.0,0.0,0.0
152,22,-1.0,56.0,4.7,2000.0,-8.6,0.0,0.0,0.0
148,23,-1.4,43.0,4.3,2000.0,-12.3,0.0,0.0,0.0
171,0,-9.5,50.0,0.6,1953.0,-18.0,0.0,0.0,0.0
170,1,-9.8,48.0,0.8,2000.0,-18.7,0.0,0.0,0.0
107,2,-10.6,44.0,0.8,1903.0,-20.5,0.0,0.0,0.0
80,3,-10.7,48.0,0.4,1651.0,-19.6,0.0,0.0,0.0
52,4,-11.0,50.0,0.8,1718.0,-19.4,0.0,0.0,0.0
62,5,-10.8,48.0,0.8,1648.0,-19.6,0.0,0.0,0.0
108,6,-11.0,55.0,0.8,1541.0,-18.2,0.0,0.0,0.0
279,7,-10.9,57.0,1.1,1387.0,-17.7,0.0,0.0,0.0
621,8,-10.4,54.0,1.1,1432.0,-17.9,0.01,0.0,0.0
305,9,-9.4,44.0,0.5,1680.0,-19.4,0.13,0.0,0.0
189,10,-7.7,43.0,0.9,1555.0,-18.1,0.35,0.0,0.0
247,11,-6.1,38.0,1.0,1587.0,-18.1,0.52,0.0,0.0
278,12,-4.9,34.0,1.3,1768.0,-18.3,0.6,0.0,0.0
282,13,-3.8,32.0,0.9,1827.0,-18.1,0.52,0.0,0.0
294,14,-2.7,28.0,0.7,1857.0,-18.7,0.65,0.0,0.0
301,15,-2.5,29.0,1.1,1667.0,-18.1,0.48,0.0,0.0
335,16,-2.4,28.0,0.9,1878.0,-18.4,0.35,0.0,0.0
382,17,-2.9,31.0,0.6,1723.0,-17.7,0.09,0.0,0.0
612,18,-3.5,35.0,1.1,1414.0,-16.7,0.0,0.0,0.0
410,19,-4.2,40.0,0.9,1216.0,-15.8,0.0,0.0,0.0
277,20,-4.8,43.0,1.1,1397.0,-15.4,0.0,0.0,0.0
316,21,-4.8,45.0,0.8,1351.0,-14.9,0.0,0.0,0.0
309,22,-4.9,44.0,1.1,1369.0,-15.3,0.0,0.0,0.0
211,23,-5.6,53.0,1.2,1290.0,-13.6,0.0,0.0,0.0
166,0,-1.3,90.0,2.0,259.0,-2.7,0.0,0.0,2.2
189,1,-1.8,90.0,1.6,263.0,-3.2,0.0,0.0,2.2
132,2,-2.2,88.0,1.4,348.0,-3.9,0.0,0.0,2.2
79,3,-2.9,89.0,1.3,288.0,-4.4,0.0,0.0,2.2
58,4,-3.6,91.0,1.2,241.0,-4.8,0.0,0.0,2.2
49,5,-4.3,91.0,1.5,233.0,-5.5,0.0,0.0,2.2
84,6,-4.8,91.0,1.1,266.0,-6.0,0.0,0.0,2.2
